D4D | DEPLOY FOR DEFENSE   ·  일정표,,,
2026.07.03 (금) ~ 07.05 (일)   ·   아크 강남 (양재역 3번 출구) ,,,
시간,프로그램,,비고
,,,
day 1,7/3 (금)  —  Defense Builders Night Vol.2,,
18:00,Defense Builders Night Vol.2 시작,,
18:30,오프닝 세션,,각 10분
19:20,Fireside Chat,,모더레이터 진행
20:00,네트워킹 리셉션,,
,,,
day 2,7/4 (토)   —   킥오프 & 24H Hacking,,
9:00,등록 · 체크인 · 굿즈 지급,개발 시작,등록 데스크
10:00,오프닝,"24H
개발",현장에서 자유롭게 개발 진행
10:30,Session 1 · 파트너 세션 - Palantir Dev Tier Study,,세션은 자유롭게 참여
12:00,점심 식사,,한식 도시락
13:00,Session 2 · 파트너 세션 - StealthMole Study,,세션은 자유롭게 참여
14:00,Session 3 · 파트너 세션 - BONE AI / 국방 커뮤니티 소개,,세션은 자유롭게 참여
15:00,개발 집중,,
17:00,저녁 식사,,크라이치즈버거
18:00,커뮤니티 세션 1 · Builders Lead the Way,,세션은 자유롭게 참여
18:50,커뮤니티 세션 2 · 패널 토크,,세션은 자유롭게 참여
19:20,커뮤니티 세션 3 · The Rise of Defense AI,,세션은 자유롭게 참여
20:00,-,,-
,,,
day 3,DAY 3  ·  7/5 (일)   —   피니시 & 시상,,
8:00,아침 식사,,전투식량
10:00,제출 마감,제출 마감,제출 링크 공개 예정
10:30,현장 심사 (1차 심사 -  팀당 3분),1차 심사,현장
12:30,점심 식사,-,BQQ + 🍻
14:00,메인 심사선별 팀 피칭,2차 심사,메인 스테이지
15:30,시상식,-,메인 스테이지
16:00,클로징,,
